number,title,languages,featured,raycast_friendly,author,source,published,languages_declared,try_link,images_count,prompt
1,Profile / Avatar - Black and white studio side-profile portrait prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=778,0,"{\n  ""Use the attached image of the person as reference. Hyper-realistic black and white studio portrait of the young man in side profile, natural hair gently falling around his face. Strong rim light accentuating his jawline and nose, dark minimalist background. Expression thoughtful and serene, cinematic lighting creating dramatic contrast and fine photographic detail."",\n  ""size"": ""{argument name=""image size"" default=""1024x1024""}"",\n  ""n"": {argument name=""number of images"" default=""1""}\n}"
2,Profile / Avatar - 2005 Sony CyberShot mall food court snapshot prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=747,0,"A low-resolution digital photo taken on a 2005 Sony CyberShot. A group of teenagers hanging out in a mall food court. Harsh on-camera flash, slightly blown-out highlights, digital noise in the shadows. The skin texture looks slightly waxy due to early digital processing. An orange date stamp appears in the bottom right corner reading ""{argument name=""date stamp in english"" default=""04/12/2005""}"". Candid, awkward angles, Myspace photo aesthetic."
3,Profile / Avatar - Tense Mirror Selfie Before a Rave Prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6246,0,"Tatum is frantically racing the clock—she's already {argument name=""minutes late"" default=""30 minutes""} late for the underground warehouse rave downtown. Her friends are blowing up her phone, but she’s struggling with the final touch: a reflective, high-tension vinyl corset. She snatches a quick, tense mirror selfie in the hallway to check if the zipper is going to hold, capturing the rush, the sweaty skin from the stress, and the sheer chaos of trying to achieve peak glamour under pressure. She's not smiling; she's intensely focused on the phone screen's preview."
4,Profile / Avatar - Ultra Photorealistic Dinner Selfie Prompt,en,False,False,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6346,0,"{\n  ""type"": ""photorealistic_dinner_selfie"",\n  ""subject"": {\n    ""physical_characteristics"": {\n      ""hair"": ""medium-length, straight platinum blonde hair, slightly tousled with a natural part"",\n      ""eyes"": ""clear light blue eyes"",\n      ""skin"": ""fair, pale complexion with smooth texture"",\n      ""face"": ""delicate facial features, heart-shaped face, naturally full lips with a soft pink hue, well-defined light eyebrows"",\n      ""build"": ""slender and elegant""\n    },\n    ""emotional_state"": {\n      ""mood"": ""relaxed, intimate, slightly playful"",\n      ""expression"": ""soft smile with half-closed eyes, calm and content"",\n      ""vibe"": ""warm, cozy, emotionally present, enjoying the moment"",\n      ""gaze"": ""slightly sleepy, relaxed gaze toward camera""\n    },\n    ""pose_and_gesture"": {\n      ""pose"": ""seated at a restaurant booth, leaning head on hand"",\n      ""gesture"": ""holding a wine glass raised slightly toward camera"",\n      ""posture"": ""relaxed, casual, intimate""\n    },\n    ""clothing"": {\n      ""top"": ""strapless or thin-strap light-colored top"",\n      ""style"": ""minimal, elegant, evening wear"",\n      ""details"": ""no logos, soft fabric""\n    },\n    ""accessories"": {\n      ""jewelry"": [\n        ""gold ring"",\n        ""thin bracelet""\n      ],\n      ""tattoo"": ""small minimal tattoo on inner forearm""\n    }\n  },\n  ""food_and_table"": {\n    ""dish"": {\n      ""type"": ""pasta with shrimp"",\n      ""size"": ""creamy light-colored sauce"",\n      ""presentation"": ""served in a white ceramic bowl"",\n      ""detail"": ""shrimp clearly visible on top of pasta""\n    },\n    ""drink"": {\n      ""type"": ""white wine"",\n      ""glass"": ""large wine glass, partially filled"",\n      ""interaction"": ""held naturally in hand""\n    },\n    ""table_setting"": {\n      ""tablecloth"": ""white"",\n      ""cutlery"": ""fork and knife placed neatly"",\n      ""additional_objects"": ""compact digital camera placed on table""\n    },\n    ""lighting"": {\n      ""type"": ""low-light indoor ambient lighting"",\n      ""source"": ""warm overhead and side lighting"",\n      ""quality"": ""soft, cinematic, intimate"",\n      ""highlights"": ""wine glass, food surface"",\n      ""shadows"": ""gentle shadows adding depth and mood""\n    },\n    ""camera_composition"": {\n      ""shot_type"": ""table-level selfie"",\n      ""angle"": ""slightly low and front-facing"",\n      ""framing"": ""centered subject with food in foreground"",\n      ""focus"": ""sharp on expression and wine glass"",\n      ""depth_of_field"": ""moderate, background softly blurred""\n    },\n    ""style"": {\n      ""realism_level"": ""ultra photorealistic"",\n      ""retouching"": ""minimal, natural imperfections preserved"",\n      ""color_grading"": ""warm tones, cozy evening palette"",\n    }\n  }"
5,Profile / Avatar - Pro Sketch Transformation Prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6339,0,"Turn any {argument name=""person"" default=""[PERSON]""} into a pro sketch"
6,Profile / Avatar - Dramatic Mirror Selfie with Red LED Lighting Prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6369,0,"{\n""subject"": {\n""demographics"": {\n""age"": ""young adult"",\n""gender"": ""female"",\n""ethnicity"": ""caucasian with fair olive skin, slightly tanned""\n},\n""hair"": {\n""color"": ""dark brown"",\n""style"": ""long bob with douyin bangs framing the face"",\n""texture"": ""straight, slightly messy""\n},\n""face"": {\n""eyes"": ""light brown, direct gaze into the phone mirror"",\n""lips"": ""full, natural pink tone"",\n""expression"": ""serious, composed, confident""\n},\n""attire"": {\n""top"": {\n""item"": ""bandeau bikini top with silver hoop in the middle"",\n""color"": ""{argument name=""bikini color"" default=""orange""}"",\n""style"": ""strapless, ribbed fabric""\n},\n""bottom"": {\n""item"": ""high-waisted thong bikini bottoms"",\n""color"": ""{argument name=""bikini color"" default=""orange""}"",\n""cut"": ""high-cut leg""\n},\n""cover_up"": {\n""item"": ""loose-fitting shirt"",\n""color"": ""white"",\n""style"": ""long-sleeved, tied at the front over the waist"",\n""fabric"": ""lightweight, slightly sheer""\n},\n""accessories"": {\n""earrings"": ""large silver hoop earrings"",\n""piercings"": ""silver navel piercing, silver nostril piercing"",\n""necklace"": ""silver chain with a ""J"" pendant""\n""tan_lines"": ""soft bikini tan lines""\n}\n}\n},\n""pose"": {\n""type"": ""seated mirror selfie"",\n""position"": ""sitting on a small beige circular ottoman"",\n""legs"": ""closed together, right knee bent with foot on the floor, left leg also bent"",\n""arms"": {\n""right_arm"": ""resting on the right thigh, hand relaxed"",\n""left_arm"": ""raised, holding a smartphone for a mirror selfie, phone obscuring part of the face""\n}\n},\n""setting"": {\n""location"": ""casual living room"",\n""background_elements"": {\n""wall"": ""plain white"",\n""decor"": ""abstract painting hanging on the wall"",\n""lighting_fixture"": ""simple lamp on the ceiling"",\n""furniture"": ""corner of a brown tufted sofa visible on the right"",\n""plants"": ""large green potted plant behind the subject"",\n""other"": ""part of a black cat visible on the sofa""\n},\n""clutter"": ""minimal, lived-in feel""\n},\n""lighting"": {\n""type"": ""mixed artificial and natural"",\n""primary_source"": ""strong {argument name=""light color"" default=""red""} LED light source from the left, casting a {argument name=""light color"" default=""red""} glow on the subject and wall"",\n""secondary_source"": ""softer natural daylight from a window on the right"",\n""effect"": ""dramatic, moody lighting with strong color contrast, creating {argument name=""light color"" default=""red""} highlights and shadows""\n},\n""camera"": {\n""shot_type"": ""mirror selfie, full body"",\n""device"": ""smartphone (iPhone with a dark case)"",\n""angle"": ""eye-level reflected shot"",\n""focus"": ""sharp on the subject in the mirror"",\n""perspective"": ""first-person reflection"",\n""aspect_ratio"": ""3:4 (vertical)""\n},\n""style_and_realism"": {\n""aesthetic"": ""raw, unfiltered social media photo, after beach day"",\n""realism_level"": ""high, candid snapshot quality"",\n""texture"": ""perceptible film grain, realistic rendering of fabric and skin"",\n""imperfections"": ""natural lens flare from the phone camera, slightly unpolished composition""\n}\n}"
7,Profile / Avatar - Nano Banana Pro 'Sajiao' (Coquettish) Portrait Prompt,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6364,0,"{\n  ""style"": ""ultra-realistic celebrity portrait, soft romantic photography"",\n  ""subject"": {\n    ""identity"": ""based on uploaded reference"",\n    ""gender"": ""female"",\n    ""age"": ""young adult"",\n    ""pose"": ""tilting head slightly to the side, looking up at camera through lashes, playful and cute posture"",\n    ""expression"": ""{argument name=""expression"" default=""pouting lips, acting cute, puppy eyes, innocent look, 'sajiao' vibe""}"",\n    ""facial_details"": {\n      ""eyes"": ""big imploring eyes, looking up, soft gaze"",\n      ""mouth"": ""pouted lips, slight pout"",\n      ""cheeks"": ""faint blush"",\n      ""freckles"": ""visible natural freckles across nose and cheeks"",\n      ""makeup"": {\n        ""skin"": ""dewy natural finish"",\n        ""lips"": ""glossy pink"",\n        ""eyes"": ""doe-eyed makeup""\n      }\n    },\n    ""hair"": {\n      ""color"": ""jet black"",\n      ""length"": ""long"",\n      ""style"": ""straight, soft texture, falling over one shoulder""\n    },\n    ""outfit"": {\n      ""dress"": ""{argument name=""outfit"" default=""black fitted dress with deep plunging V-neckline""}"",\n      ""jewelry"": {\n        ""earrings"": ""long dangling gold chain earrings"",\n        ""necklaces"": ""layered gold necklaces with a small heart pendant""\n      }\n    }\n  },\n  ""environment"": {\n    ""setting"": ""soft studio setting"",\n    ""background"": ""creamy soft focus background, blurred""\n  },\n  ""lighting"": {\n    ""type"": ""soft diffused light"",\n    ""mood"": ""romantic, sweet, charming"",\n    ""tone"": ""warm peach and cream tones""\n  },\n  ""camera"": {\n    ""shot_type"": ""close-up portrait"",\n    ""angle"": ""slightly high angle (to emphasize big eyes)"",\n    ""focus"": ""sharp focus on eyes"",\n    ""lens"": ""85mm f/1.4""\n  },\n  ""quality"": {\n    ""resolution"": ""8k"",\n    ""texture"": ""realistic skin texture"",\n    ""aesthetic"": ""k-pop aesthetic influence, soft dreamy style""\n  }\n}"
8,Profile / Avatar - Identity-Preserving Ultra-Realistic Business Portrait Upgrade,en,False,False,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6334,0,"""Ultra realistic professional business portrait based on the attached image. Keep the subject’s facial structure, skin tone, hairstyle, and expression accurate. Dress the subject in clean, modern professional attire suitable for executives. Use a soft, minimal, premium gradient background with smooth lighting transitions"""
9,Profile / Avatar - Intimate Black and White Candid Portrait,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6296,0,"{\n  ""image_generation_prompt"": {\n    ""subject_details"": {\n      ""demographics"": ""Young woman, caucasian, estimated early 20s"",\n      ""hair"": ""Textured blonde curly hair styled in a messy updo/bun, loose wispy tendrils and stray hairs framing the face, backlit flyaways"",\n      ""face"": ""Natural skin texture with visible freckles across nose and cheeks, high cheekbones, strong brushed-up eyebrows, full lips, defined jawline, light natural makeup"",\n      ""gaze"": ""Direct eye contact, soft and alluring expression, slightly parted lips, calm demeanor""\n    },\n    ""apparel_and_styling"": {\n      ""clothing"": ""{argument name=""clothing item"" default=""Black spaghetti strap camisole top""}, V-neck, minimalist style"",\n      ""accessories"": ""None visible"",\n      ""styling"": ""Effortless, 'woke up like this' aesthetic, casual chic""\n    },\n    ""pose_and_composition"": {\n      ""type"": ""Close-up portrait, selfie angle"",\n      ""framing"": ""Head and shoulders, center composition"",\n      ""posture"": ""Shoulders slightly angled, neck elongated, visible collarbones, head tilted very slightly""\n    },\n    ""environment_and_background"": {\n      ""setting"": ""Indoor, domestic setting near a window"",\n      ""backdrop"": ""Sheer textured curtains with vertical folds, soft fabric detail"",\n      ""depth"": ""Shallow depth of field, background slightly out of focus to emphasize subject""\n    },\n    ""lighting_and_atmosphere"": {\n      ""type"": ""Soft natural window lighting (diffused)"",\n      ""direction"": ""Front-lit with slight side bias"",\n      ""highlights"": ""Soft specular highlights on forehead, nose tip, and cheekbones"",\n      ""shadows"": ""Gentle, non-intrusive shadows under the chin and defining the neck"",\n      ""mood"": ""Intimate, raw, candid, serene, sentimental""\n    },\n    ""technical_specs"": {\n      ""medium"": ""{argument name=""medium style"" default=""Black and white photography""}, monochrome"",\n      ""camera_emulation"": ""iPhone front camera or 35mm film camera equivalent"",\n      ""lens"": ""35mm focal length (portrait appropriate but slightly wide for selfie feel)"",\n      ""aperture"": ""f/2.8"",\n      ""film_grain"": ""Fine film grain texture added for realism"",\n      ""quality_tags"": [\n        ""Photorealistic"",\n        ""8k resolution"",\n        ""highly detailed skin pores"",\n        ""sharp focus on eyes"",\n        ""high contrast monochrome"",\n        ""raw photo style""\n      ]\n    }\n  }\n}"
10,Profile / Avatar - Digital Art Portrait of Girl with Pink-Tipped Hair in Winter,en,False,True,,,,,https://youmind.com/en-US/nano-banana-pro-prompts?id=6328,0,"A blonde girl with pink-tipped hair and vibrant {argument name=""eye color"" default=""red""} eyes, wearing a black beanie, a navy blue turtleneck crop top, and an oversized light blue jacket. She is smiling cheerfully with a slight blush on her cheeks, posed outdoors against a snowy winter background with green foliage. High-quality digital art, detailed character design, soft cinematic lighting, vibrant colors."
